,Unnamed: 0,Last,Change,%Change,Open,Low,High,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
170,153,7.24,0.04,0.0056,7.2,7.02,7.24,57100.0,403978.0,-44206.0,27.35,5.0,7.11,5.8,7.6,7.84,6.98,6.81,8.37,0.0,7.07,7.28,8.21,0.0,UPTREND,SIDEWAYS,DOWNTREND,54.2027,0.1569,0.0583,HIGH,35.3252,65.8836,-38.0952,93230.0,127260.0,112450.0,687844.7,915684.0,791354.15,Hammer,None,None,-0.2536,-0.0706,0.0056,-44206.0,35309.0,-346901.0,-470018.0,0.0,0.0,0.0,38.11,0.0,1.86,0.0,2020-05-11
171,155,5.21,-0.08,-0.0151,5.21,5.2,5.22,15100.0,78653.0,0.0,27.35,5.0,5.2,5.03,5.59,6.24,5.3,5.74,6.12,8.09,5.35,5.68,6.35,7.98,DOWNTREND,DOWNTREND,DOWNTREND,43.8964,-0.1519,0.049,NEUTRAL,-41.7251,40.0,-71.6667,47130.0,42060.0,76485.0,247685.7,219921.07,422907.7,Doji,None,None,-0.4629,0.0117,-0.0352,0.0,0.0,-10097.0,28408.0,0.0,0.0,0.0,104.2,0.0,1.92,0.0,2020-08-19
172,153,5.8,-0.05,-0.0085,5.85,5.8,6.0,21900.0,128045.0,5850.0,27.35,5.0,5.3,5.06,6.28,8.75,6.68,8.53,9.84,0.0,6.65,8.04,9.22,0.0,DOWNTREND,DOWNTREND,DOWNTREND,35.6763,-0.9179999999999999,0.0953,HIGH,-57.5532,25.7997,-75.7576,53700.0,82300.0,86970.0,313464.5,525441.2,602675.25,Shooting Star,None,None,-0.4021,-0.2831,-0.0085,-476260.0,-528553.0,-465800.0,-973112.0,0.0,0.0,0.0,30.53,0.0,1.49,0.0,2020-03-30
173,156,7.08,0.37,0.0551,6.94,6.71,7.19,348000.0,2431621.0,0.0,12.78,4.82,6.16,5.96,7.14,7.84,6.38,5.74,5.5,6.03,6.31,5.95,5.88,6.71,SIDEWAYS,UPTREND,UPTREND,70.6562,0.2097,0.0433,NEUTRAL,221.7597,75.8626,-8.2707,146030.0,135986.67,168625.0,954777.2,883726.53,1081487.55,None,None,None,-0.2701,0.1512,0.0859,7969.0,-8056.0,-104780.0,-21694.0,0.0,0.0,0.0,33.71,0.0,1.75,0.0,2020-12-16
174,156,9.63,-0.29,-0.0292,9.8,9.61,9.92,169600.0,1639864.0,19250.0,27.35,5.84,9.62,9.33,10.52,12.25,10.01,10.07,10.75,0.0,9.96,10.25,10.74,0.0,DOWNTREND,SIDEWAYS,DOWNTREND,45.1439,-0.0896,0.0603,HIGH,-57.2826,11.0251,-89.0805,296680.0,701873.33,840235.0,2973638.1,7709665.73,9138364.1,None,None,None,-0.0072,-0.0153,-0.0292,-4069.0,25268.0,-501473.0,-82695.0,0.0,0.0,0.0,50.68,0.0,2.48,0.0,2020-02-17
175,156,9.92,0.22,0.0227,9.94,9.63,9.98,89900.0,878858.0,8685.0,27.35,5.84,9.62,9.33,10.52,12.25,10.01,10.1,10.77,0.0,9.99,10.28,10.76,0.0,DOWNTREND,SIDEWAYS,DOWNTREND,48.417,-0.0839,0.0607,HIGH,-35.2648,9.4686,-85.6287,314130.0,915946.67,843560.0,3145259.7,10125662.47,9169898.95,None,None,None,0.0227,0.0143,0.002,-60882.0,36290.0,-529723.0,-23785.0,0.0,0.0,0.0,52.21,0.0,2.55,0.0,2020-02-14
176,153,7.05,-0.1,-0.013999999999999999,6.75,6.65,7.15,48500.0,334456.0,0.0,27.35,5.0,6.45,5.68,7.4,8.75,6.3,7.22,8.75,0.0,6.6,7.22,8.37,0.0,UPTREND,DOWNTREND,DOWNTREND,57.1865,-0.1738,0.0651,HIGH,122.0513,80.5556,-25.0,133080.0,108513.33,115750.0,908356.5,721865.4,748072.4,None,None,None,-0.2732,0.2051,-0.013999999999999999,25730.0,68525.0,-460667.0,-409592.0,0.0,0.0,0.0,37.11,0.0,1.81,0.0,2020-04-27
177,153,6.67,-0.08,-0.0119,6.75,6.61,6.8,111400.0,744374.0,0.0,27.35,5.0,5.91,5.7,6.92,7.24,6.36,6.49,7.68,0.0,6.46,6.77,7.61,0.0,DOWNTREND,SIDEWAYS,DOWNTREND,53.596000000000004,-0.1457,0.0526,HIGH,68.3235,82.1705,-24.8062,71890.0,55300.0,59245.0,464036.9,354794.67,386807.7,None,None,None,-0.3124,0.15,-0.0119,-1995.0,-73559.0,-67085.0,-527113.0,0.0,0.0,0.0,35.11,0.0,1.71,0.0,2020-06-08
178,153,6.56,0.17,0.0266,6.48,6.35,6.95,165200.0,1089880.0,0.0,27.35,5.0,6.18,5.74,6.76,7.12,6.38,6.6,7.39,9.19,6.48,6.69,7.43,9.22,UPTREND,DOWNTREND,DOWNTREND,51.1396,-0.0391,0.0559,HIGH,58.3118,51.0588,-42.5373,92140.0,92226.67,76510.0,608889.3,607525.93,499643.4,None,None,None,-0.3237,0.131,0.0266,0.0,23095.0,-104275.0,-461330.0,0.0,0.0,0.0,34.53,0.0,1.69,0.0,2020-06-22
179,156,6.19,-0.1,-0.0159,6.3,6.1,6.3,107700.0,662462.0,0.0,12.78,4.82,5.98,5.4,6.32,6.77,6.16,5.6,5.45,6.1,6.11,5.8,5.81,6.72,UPTREND,UPTREND,SIDEWAYS,55.0182,0.2226,0.0451,NEUTRAL,18.1147,40.9487,-66.6667,103750.0,158013.33,162680.0,651832.0,992811.53,1000591.1,None,None,None,-0.3619,0.0065,-0.0175,0.0,-16025.0,-106617.0,36211.0,0.0,0.0,0.0,29.48,0.0,1.53,0.0,2020-12-09
